Price,Close,High,Low,Open,Volume
Ticker,GOLD,GOLD,GOLD,GOLD,GOLD
Date,,,,,
2016-07-11,6.057663917541504,6.0976127614289615,5.99229333397674,5.995925110029277,48600
2016-07-12,6.075821876525879,6.286460030815125,5.999556660363248,6.068558324694077,99000
2016-07-13,5.992292404174805,6.137559960283397,5.945080708198392,6.086716488817977,54800
2016-07-14,6.0177154541015625,6.206563664630002,5.886974278706412,5.966871971532559,64200
2016-07-15,6.0867180824279785,6.097613411747592,5.91239696945733,5.959608677794599,21800
2016-07-18,6.046769142150879,6.068559107767585,6.0140838473805625,6.054032694919954,26800
2016-07-19,6.0830864906311035,6.202932346022482,5.97413596489005,5.992294154950042,33200
2016-07-20,6.192036151885986,6.242880323798468,6.028610386090699,6.028610386090699,29200
2016-07-21,6.217458248138428,6.274838644060428,6.050400022638995,6.137560564890276,53000
2016-07-22,6.26467227935791,6.464415176406096,6.213828783969064,6.33004288353824,58800
2016-07-25,6.217458248138428,6.384515780947446,6.101970131358493,6.199299368904568,50600
2016-07-26,6.2210893630981445,6.4063057760878825,6.119402409630349,6.4063057760878825,46600
2016-07-27,6.268301963806152,6.493466533374803,6.144824351065753,6.2501430838793635,76200
2016-07-28,6.29372501373291,6.31188320475085,6.228354417763392,6.30098856721632,12800
2016-07-29,6.1956682205200195,6.326409393482875,6.101244117012456,6.275565911859758,24400
2016-08-01,6.0794548988342285,6.195668981207218,6.046769601580504,6.177510790595402,18800
2016-08-02,6.0867180824279785,6.144825120084861,5.902228272501902,6.108508048376677,25800
2016-08-03,6.043138027191162,6.083086879102977,5.936003036538143,6.043138027191162,86000
2016-08-04,6.184773921966553,6.210195664164951,5.992293928236431,6.003189257474539,32800
2016-08-05,6.177509784698486,6.202931524491781,5.998104341565414,6.159350904352949,9000
2016-08-08,6.177509784698486,6.348199103803793,6.153903586594517,6.170246232560272,29800
2016-08-09,6.177509784698486,6.511988533261116,6.061295721248878,6.228353264285077,22800
2016-08-10,6.152087211608887,6.533414642238665,6.152087211608887,6.322776507594436,7600
2016-08-11,6.123035430908203,6.294451407551472,6.093981910766491,6.294451407551472,15200
2016-08-12,6.231985092163086,6.460782137585732,5.985029858934403,6.064927547738073,47200
2016-08-15,6.2465128898620605,6.300988152016852,6.2247222308477115,6.2755664091906525,9000
2016-08-16,6.231985092163086,6.281013030467939,6.20656335215845,6.224721539964486,15200
2016-08-17,6.1956682205200195,6.311882288624564,6.101244117012456,6.1738782559230385,25400
2016-08-18,6.162982940673828,6.533415803080019,6.11577123516268,6.133929423584548,36000
2016-08-19,6.228355407714844,6.282104742268321,6.064929584506297,6.115773081590197,36000
2016-08-22,6.181141376495361,6.428096600308779,6.046768436706142,6.428096600308779,24000
2016-08-23,6.1884050369262695,6.231984963839582,6.123034453865852,6.12666622989037,14600
2016-08-24,6.108506679534912,6.1811408066748585,6.101243128282842,6.1811408066748585,9600
2016-08-25,6.181141376495361,6.213826667452457,6.137560757655755,6.137560757655755,18800
2016-08-26,6.1884050369262695,6.279197359467861,6.1738779328282,6.279197359467861,15400
2016-08-29,6.192036151885986,6.248690611315013,6.1666144122749715,6.221089667540068,22600
2016-08-30,6.144824028015137,6.290091596340117,6.10850696276129,6.290091596340117,23200
2016-08-31,6.126666069030762,6.2247212483564365,6.061295487686691,6.2247212483564365,21000
2016-09-01,6.202933311462402,6.250508691175859,6.166616232999388,6.166616232999388,16000
2016-09-02,6.311882495880127,6.319146048547787,6.181142011314792,6.181142011314792,49800
2016-09-06,6.380884170532227,6.438991200206237,6.268301887125136,6.268301887125136,23600
2016-09-07,6.417201519012451,6.464413222936606,6.279197490649914,6.348199158485951,28800
2016-09-08,6.242879390716553,6.647450037931711,6.170245266092266,6.457149296398815,27000
2016-09-09,6.152087211608887,6.2973547712445,6.061294900250333,6.210194235463132,26400
2016-09-12,6.144824028015137,6.152087579603987,6.097612328068419,6.137560476426286,21600
2016-09-13,6.115772247314453,6.177511067933174,6.086718725416855,6.119404024137978,13800
2016-09-14,6.235617637634277,6.261039380775535,6.115771782332243,6.17387882170956,21600
2016-09-15,6.118927955627441,6.290316025944942,6.107988025192914,6.231971121346383,16200
2016-09-16,5.94024658203125,6.151747034501406,5.896487555939507,6.126220530224317,52800
2016-09-19,6.07881498336792,6.144453168557215,5.984004348708501,5.984004348708501,19000
2016-09-20,6.042349815368652,6.126220528534728,5.976711624012204,6.060583032704402,12400
2016-09-21,5.907426357269287,6.126219359332157,5.83449489289767,6.024116143843082,49200
2016-09-22,5.7652106285095215,5.889193357366955,5.7287448949989175,5.834495104864058,97200
2016-09-23,6.049643516540527,6.15174745403372,5.761565270408268,5.761565270408268,61000
2016-09-26,5.852727890014648,6.013176707442255,5.82720208405422,6.013176707442255,18800
2016-09-27,5.827202796936035,6.002237512528781,5.823556501183487,6.002237512528781,33600
2016-09-28,5.856375217437744,5.885547669876649,5.816263182275016,5.819909825770645,29000
2016-09-29,5.881901264190674,5.889194551476806,5.856375454215371,5.856375454215371,27000
2016-09-30,5.852727890014648,5.9220127172829855,5.823555788747748,5.860021176153641,38000
2016-10-03,5.7360382080078125,5.889193742343306,5.728745269486757,5.849082058832957,88400
2016-10-04,5.630288600921631,5.761564986146565,5.5135987898444165,5.761564986146565,285200
2016-10-05,5.725099086761475,5.7943839209801045,5.564650601001539,5.699573278240432,283200
2016-10-06,5.699573993682861,5.834496687858006,5.69228070589675,5.69228070589675,72800
2016-10-07,5.63393497467041,5.728745615512053,5.484426074446386,5.728745615512053,59200
2016-10-10,5.6157026290893555,5.677694180974888,5.5245386231121705,5.677694180974888,29000
2016-10-11,5.524538993835449,5.652168749873315,5.473487369630789,5.575590965803217,32000
2016-10-12,5.619349002838135,5.630288585656197,5.509952131368321,5.509952131368321,46200
2016-10-13,5.861845016479492,5.888464885690048,5.571943143730631,5.586529368671168,37800
2016-10-14,5.819908142089844,5.925658338528448,5.794382340531101,5.870960092970295,31000
2016-10-17,5.754271030426025,5.816262572298141,5.71780564258321,5.787090122918678,24800
2016-10-18,5.6485209465026855,5.736038296686542,5.637581364670463,5.736038296686542,32200
2016-10-19,5.630288600921631,5.740779535301747,5.601116148152327,5.619349018073909,41400
2016-10-20,5.579234600067139,5.619346618555925,5.550062159754763,5.615699976576148,16200
2016-10-21,5.524538993835449,5.559181415805117,5.469840725683854,5.517246053704686,40200
2016-10-24,5.550064563751221,5.692280184933661,5.524538406599111,5.531831693717734,196600
2016-10-25,5.5464186668396,5.663108494341549,5.524539150301425,5.615703164978103,241600
2016-10-26,5.53912353515625,5.644873743073898,5.4990115072436945,5.531830597246241,28800
2016-10-27,5.721452236175537,5.721452236175537,5.522715044829506,5.5755899816748595,14200
2016-10-28,5.48077917098999,5.615701839124997,5.48077917098999,5.524537845971908,31200
2016-10-31,5.5610032081604,5.582882718060691,5.480778802210017,5.506304955054191,40800
2016-11-01,5.6157026290893555,5.630288856135182,5.5172456834708,5.571943947951877,26200
2016-11-02,5.5719428062438965,5.677693017598369,5.546417001084786,5.5719428062438965,163800
2016-11-03,5.535478591918945,5.739685771951291,5.531831948191882,5.66310799249839,138800
2016-11-04,5.488072395324707,5.622995061934384,5.4078479848832925,5.531831069811924,70800
2016-11-07,5.622995376586914,5.626642019938999,5.437020738787167,5.47348647678192,64400
2016-11-08,6.191857814788818,6.2502027106823315,5.652167180010806,5.714158718838417,111400
2016-11-09,6.536056041717529,6.708153620765356,6.27973984462843,6.27973984462843,124200
2016-11-10,6.356633186340332,6.649565301579643,6.213828169056572,6.587317139790633,41200
2016-11-11,6.24312162399292,6.477468023726529,6.116794775321607,6.4078963817427015,34800
2016-11-14,6.089332103729248,6.534955879911954,5.923093487943459,6.239460604862307,25400
2016-11-15,6.04172945022583,6.2833985723624535,5.968496086618622,6.125947329490538,20200
2016-11-16,5.961175441741943,6.085671785372814,5.893434311727398,6.019761874226428,37600
2016-11-17,5.931880950927734,5.982777929402696,5.913572258206933,5.913572258206933,11800
2016-11-18,6.05271577835083,6.221151567882524,5.902587983888148,5.928219456346863,16000
2016-11-21,5.961175441741943,6.140596478526349,5.902589009257458,6.016100134895477,29600
2016-11-22,6.089332103729248,6.114964276004353,5.968497513767739,6.067362368755869,83800
2016-11-23,6.082009792327881,6.532027270770189,6.04539309895122,6.532027270770189,26400
2016-11-25,5.957512855529785,6.114964132351603,5.913572688209987,6.082009181463071,14200
2016-11-28,6.060038089752197,6.21456023808811,5.887940574804428,5.898925790041379,143600
2016-11-29,6.078347682952881,6.217490271223424,6.041730991806329,6.1442575873356144,222600
2016-11-30,5.990468502044678,6.147919797150085,5.96849806663089,6.147919797150085,14600
2016-12-01,6.0014519691467285,6.169888452428046,5.898926082145707,6.1259482877095905,85400
2016-12-02,6.147918224334717,6.26875279457618,5.924557076940885,6.078346593466853,238000
2016-12-05,6.4994378089904785,6.536054499708102,6.038069182121111,6.122287081887945,209000
2016-12-06,6.678857803344727,6.7520911735747084,6.466481867763997,6.5799929630558065,60000
2016-12-07,6.708151817321777,6.898558044061018,6.704490078530031,6.72646051128051,28000
2016-12-08,6.583654880523682,6.647734255819562,6.363955462261743,6.647734255819562,48200
2016-12-09,6.539716720581055,6.755754443490654,6.4426823782673734,6.6642130591528685,32200
2016-12-12,6.429866790771484,6.609287824462799,6.254107496347995,6.598303305064676,34200
2016-12-13,6.36029577255249,6.497607850817907,6.283400645553076,6.283400645553076,24800
2016-12-14,6.426206111907959,6.5177475134930045,6.352973409683205,6.352973409683205,37200
2016-12-15,6.4811296463012695,6.576332061953458,6.384461976397586,6.448174695342717,13000
2016-12-16,6.506760597229004,6.547038324185001,6.389587758074808,6.481129125964675,42000
2016-12-19,6.569010257720947,6.590979995485729,6.457329651608136,6.481130608256449,39000
2016-12-20,6.814339637756348,6.825324154905331,6.412289408697461,6.525068580476136,38800
2016-12-21,6.70082950592041,6.733784462376198,6.536055422046856,6.708152984778448,38800
2016-12-22,6.719137668609619,6.766738880589787,6.616611067968442,6.616611067968442,18200
2016-12-23,6.872927665710449,6.8985591429302415,6.70851885027714,6.828987491615538,20400
2016-12-27,6.905881881713867,6.949821352695283,6.792370068467063,6.894896664765864,51800
2016-12-28,6.953482151031494,6.953482151031494,6.781384632558744,6.869264261038778,29200
2016-12-29,6.949820041656494,6.949820041656494,6.777722532367989,6.90954231725588,33800
2016-12-30,7.140228271484375,7.242754877577775,6.821663933612096,6.938837497035424,23600
2017-01-03,7.07431697845459,7.312324401332013,6.937004923132395,7.312324401332013,59600
2017-01-04,6.9827752113342285,7.1988128886338405,6.982775211334228,7.063332059523691,18800
2017-01-05,7.129241466522217,7.147550159109123,6.927850736902716,7.019392104621619,19600
2017-01-06,7.0486860275268555,7.107272452922189,6.975452646580049,7.107272452922189,13000
2017-01-09,7.1475510597229,7.323310340272161,7.019392989087079,7.066994199000516,26400
2017-01-10,7.213460445404053,7.308662858379561,7.028546481512789,7.028546481512789,17600
2017-01-11,7.176844596862793,7.2171223306354335,7.034039563870594,7.2171223306354335,54600
2017-01-12,7.176844596862793,7.1988143333210814,7.140227903828759,7.195152594177145,55600
2017-01-13,7.085305213928223,7.140229919783916,7.061504251975395,7.1036132164116115,2400
2017-01-17,7.176844596862793,7.176844596862793,6.82935302504026,7.019393305700178,29600
2017-01-18,7.019392013549805,7.158534583378963,6.865602489841154,7.030377228959423,35600
2017-01-19,6.9974236488342285,6.9974236488342285,6.902220525224982,6.924190261933166,18000
2017-01-20,6.968128204345703,6.968128204345703,6.91430142378499,6.91430142378499,4200
2017-01-23,7.077978134155273,7.117889894507087,6.957143563359448,6.971790516622056,37000
2017-01-24,6.909544467926025,7.0358713354940745,6.909544467926025,7.0358713354940745,2000
2017-01-25,7.045023441314697,7.173181493355049,6.90588087233716,6.90588087233716,10200
2017-01-26,6.993762016296387,7.023055231822436,6.92052862827859,7.012070014098162,8000
2017-01-27,6.993762016296387,6.993762016296388,6.8956297792043895,6.8956297792043895,8200
2017-01-30,6.993762016296387,7.0303787103052855,6.89855889123539,6.89855889123539,17200
2017-01-31,6.9461588859558105,6.957144101752881,6.905881158177006,6.93883610716299,47000
2017-02-01,6.847295761108398,6.9717920984671204,6.781385853282566,6.876588975874843,49000
2017-02-02,6.85095739364624,6.854619133109019,6.634920352585416,6.8289876552749575,41400
2017-02-03,6.828988075256348,6.876589992794589,6.788710335499489,6.807018335533931,7800
2017-02-06,6.766470432281494,6.832296737411128,6.744406050723413,6.79515475957964,10200
2017-02-07,6.803244590759277,6.825308971414464,6.709470446914221,6.788534536046476,11800
2017-02-08,7.2187933921813965,7.321761664875093,6.946663708720171,7.2445359864153005,76600
2017-02-09,7.641699314117432,7.641699314117431,7.262923795320754,7.303375747240864,63200
2017-02-10,7.821893692016602,7.891764356227348,7.538731416802208,7.586537697652408,27600
2017-02-13,7.902797222137451,7.96531356206336,7.785855354266528,7.862345266475353,47400
2017-02-14,7.810859680175781,7.873376005781244,7.711568921611698,7.805711301646412,22800
2017-02-15,7.866021156311035,7.906473103619237,7.465181300991174,7.615955848249398,22400
2017-02-16,7.6086015701293945,7.840279312036581,7.6086015701293945,7.840279312036581,73000
2017-02-17,7.630667209625244,7.814538708652358,7.549764002562391,7.68178346390953,52600
2017-02-21,7.509312152862549,7.715248038243842,7.4651826838595,7.63802234425615,40000
2017-02-22,7.25556755065918,7.652729871133713,7.11030893077374,7.439439008312463,71000
2017-02-23,7.310728549957275,7.384277410589034,6.994470132634118,7.200405960423556,75200
2017-02-24,7.068018436431885,7.35669656298363,6.673430313139202,7.226147999035044,29200
2017-02-27,7.0937628746032715,7.229827393114221,6.946665112063488,7.042278377148701,20600
2017-02-28,6.862082004547119,7.101114733472767,6.805081606303809,7.101114733472767,20000
2017-03-01,6.9245991706848145,6.97976046852264,6.667178845556355,6.97976046852264,37000
2017-03-02,6.873115062713623,6.961373275382703,6.8473731716952155,6.924598844750439,21200
2017-03-03,6.9466633796691895,6.987115324420929,6.730430788810348,6.825308246827911,18400
2017-03-06,6.895179271697998,6.946663052474227,6.858404841966161,6.909889324156296,8400
2017-03-07,6.917246341705322,6.979762686161529,6.854729997249116,6.898859470388747,10000
2017-03-08,6.89150333404541,6.983439078685419,6.865761437772458,6.968729724278332,13400
2017-03-09,6.766470432281494,6.954019429060299,6.737051023066037,6.840019306027158,15400
2017-03-10,6.689244747161865,6.895180611702103,6.549502027306172,6.748083565601934,25200
2017-03-13,6.7002763748168945,6.810599681954977,6.534792466230803,6.645115071954864,24200
2017-03-14,6.74072790145874,6.891502447151474,6.534792056363734,6.534792056363734,22600
2017-03-15,6.784857273101807,6.92827678995498,6.676740622669155,6.74808284017654,26800
2017-03-16,6.707631587982178,6.983438811343685,6.707631587982178,6.862083661121183,10400
2017-03-17,6.909890174865723,6.909890174865723,6.663502377166518,6.663502377166518,44400
2017-03-20,6.854730129241943,6.8731177023267644,6.718665595485235,6.8731177023267644,11600
2017-03-21,6.549501895904541,6.766470297579554,6.549501895904541,6.766470297579554,3800
2017-03-22,6.3950514793396,6.641439353373208,6.306793230622007,6.527439203123094,121000
2017-03-23,6.4171142578125,6.475953069112536,6.262662202796418,6.284726581680441,46000
2017-03-24,6.4060821533203125,6.549501677940899,6.387695286568855,6.435501560971048,22800
2017-03-27,6.336211204528809,6.512727661782978,6.255308003640827,6.402405051352635,46600
2017-03-28,6.325179100036621,6.435501705857134,6.196468925636673,6.266340283410477,136000
2017-03-29,6.420792579650879,6.604664083554936,6.396889789161521,6.531115902841787,9200
2017-03-30,6.306790351867676,6.488823388980427,6.196467766681329,6.369306670516977,49600
2017-03-31,6.281050205230713,6.314147130254605,6.1964694863536955,6.284727719279377,42600
2017-04-03,6.3950514793396,6.714988244678308,6.3950514793396,6.6120199371340105,17200
2017-04-04,6.475955009460449,6.619374567299403,6.398728608106588,6.619374567299403,11400
2017-04-05,6.51640510559082,6.552076218186493,6.2148559856702335,6.552076218186493,14200
2017-04-06,6.623050212860107,6.792211622944178,6.325178637782435,6.435501235540397,20200
2017-04-07,6.615695953369141,6.667179744772977,6.494340801192917,6.667179744772977,10800
2017-04-10,6.612018585205078,6.612018585205079,6.2700175029679075,6.505373486173547,14800
2017-04-11,6.512726306915283,6.593630192386567,6.4538875000710245,6.542146411751317,23400
2017-04-12,6.398726940155029,6.560534028240178,6.395049426628778,6.527437107917898,12400
2017-04-13,6.4575653076171875,6.58995297976012,6.350920228379553,6.3766621198709155,8400
2017-04-17,6.361953258514404,6.531115393653004,6.361953258514404,6.520082851769812,44600
2017-04-18,6.33253288269043,6.420791100056635,6.277371584513297,6.306790990302032,14200
2017-04-19,6.372984409332275,6.4355007301964555,6.288403710931891,6.292081224090244,13200
2017-04-20,6.306790351867676,6.406081099383722,6.292081001169312,6.306790351867676,14600
2017-04-21,6.2626633644104,6.319663078884403,6.2626633644104,6.31046964442867,22000
2017-04-24,6.3031134605407715,6.3031134605407715,6.099016026542587,6.251629675897611,10200
2017-04-25,6.369307994842529,6.369307994842529,6.303114149401943,6.317824204572757,6000
2017-04-26,6.527437210083008,6.527437210083008,6.222210596766672,6.410862905273589,14800
2017-04-27,6.571566581726074,6.582598420912511,6.475953334097693,6.494340200351079,4800
2017-04-28,6.453888416290283,6.604662967909979,6.439546604136431,6.531114799620423,15000
2017-05-01,6.3876953125,6.516404783110718,6.3876953125,6.516404783110718,14400
2017-05-02,6.361953258514404,6.6083410825931415,6.330327900994577,6.428147106985419,5800
2017-05-03,6.523760795593262,6.553180207806203,6.3876962771387005,6.3876962771387005,13800
2017-05-04,6.347243309020996,6.372985202921035,6.347243309020996,6.372985202921035,600
2017-05-05,6.277371883392334,6.485146841213238,6.2295656097397165,6.40240453930102,23400
2017-05-08,6.253468990325928,6.2700174522815,6.025468738286998,6.2700174522815,12200
2017-05-09,6.240597248077393,6.431823739357521,6.170726596636324,6.170726596636324,15000
